id	Growth_stages	WU	Group
175	R7_s	0.451430262	Small
176	R7_s	0.020697238	Small
177	R7_s	0.007672047	Small
178	R7_s	0.006238813	Small
179	R7_s	0.404683128	Small
180	R7_s	0.112708352	Small
181	R7_s	0.405559358	Small
182	R7_s	0.117053069	Small
183	R7_s	0.397494205	Small
184	R7_s	0.072671735	Small
185	R7_s	0.454912712	Small
186	R7_s	0.413084653	Small
187	R7_s	0.451464739	Small
